id,user_id,anonymous_id,context_group_id,event,event_text,timestamp,received_at,sent_at
track_001,user_001,anon_001,account_001,Signed Up,User Registration,2026-01-01 09:00:00,2026-01-01 09:00:01,2026-01-01 09:00:00
track_002,user_001,anon_001,account_001,Feature Used,Dashboard View,2026-01-01 09:05:00,2026-01-01 09:05:01,2026-01-01 09:05:00
track_003,user_001,anon_001,account_001,Feature Used,Create Report,2026-01-01 09:15:00,2026-01-01 09:15:01,2026-01-01 09:15:00
track_004,user_001,anon_001,account_001,Button Clicked,Export CSV,2026-01-01 09:20:00,2026-01-01 09:20:01,2026-01-01 09:20:00
track_005,user_002,anon_002,account_001,Signed Up,User Registration,2026-01-02 10:00:00,2026-01-02 10:00:01,2026-01-02 10:00:00
track_006,user_002,anon_002,account_001,Feature Used,Dashboard View,2026-01-02 10:05:00,2026-01-02 10:05:01,2026-01-02 10:05:00
track_007,user_002,anon_002,account_001,Feature Used,Update Profile,2026-01-02 10:10:00,2026-01-02 10:10:01,2026-01-02 10:10:00
track_008,,anon_003,,Page Viewed,Landing Page,2026-01-03 08:00:00,2026-01-03 08:00:01,2026-01-03 08:00:00
track_009,,anon_003,,Button Clicked,Sign Up Button,2026-01-03 08:05:00,2026-01-03 08:05:01,2026-01-03 08:05:00
track_010,user_003,anon_003,account_001,Signed Up,User Registration,2026-01-03 08:10:00,2026-01-03 08:10:01,2026-01-03 08:10:00
track_011,user_003,anon_003,account_001,Feature Used,Dashboard View,2026-01-03 08:15:00,2026-01-03 08:15:01,2026-01-03 08:15:00
track_012,user_004,anon_004,account_002,Signed Up,User Registration,2026-01-05 11:00:00,2026-01-05 11:00:01,2026-01-05 11:00:00
track_013,user_004,anon_004,account_002,Feature Used,Create Project,2026-01-05 11:10:00,2026-01-05 11:10:01,2026-01-05 11:10:00
track_014,user_004,anon_004,account_002,Feature Used,Invite User,2026-01-05 11:20:00,2026-01-05 11:20:01,2026-01-05 11:20:00
track_015,user_005,anon_005,account_002,Signed Up,User Registration,2026-01-05 15:00:00,2026-01-05 15:00:01,2026-01-05 15:00:00
track_016,user_005,anon_005,account_002,Feature Used,Dashboard View,2026-01-05 15:05:00,2026-01-05 15:05:01,2026-01-05 15:05:00
track_017,user_001,anon_001,account_001,Feature Used,API Call,2026-01-06 10:00:00,2026-01-06 10:00:01,2026-01-06 10:00:00
track_018,user_001,anon_001,account_001,Feature Used,Webhook Setup,2026-01-06 10:15:00,2026-01-06 10:15:01,2026-01-06 10:15:00
track_019,user_002,anon_002,account_001,Feature Used,Integration Enabled,2026-01-06 11:00:00,2026-01-06 11:00:01,2026-01-06 11:00:00
track_020,user_003,anon_003,account_001,Feature Used,Create Report,2026-01-06 14:00:00,2026-01-06 14:00:01,2026-01-06 14:00:00
track_021,user_004,anon_004,account_002,Feature Used,Dashboard View,2026-01-07 09:00:00,2026-01-07 09:00:01,2026-01-07 09:00:00
track_022,user_004,anon_004,account_002,Feature Used,Export Data,2026-01-07 09:30:00,2026-01-07 09:30:01,2026-01-07 09:30:00
track_023,user_006,anon_006,account_003,Signed Up,User Registration,2026-01-08 10:00:00,2026-01-08 10:00:01,2026-01-08 10:00:00
track_024,user_006,anon_006,account_003,Feature Used,Dashboard View,2026-01-08 10:05:00,2026-01-08 10:05:01,2026-01-08 10:05:00
track_025,user_007,anon_007,account_003,Signed Up,User Registration,2026-01-08 14:00:00,2026-01-08 14:00:01,2026-01-08 14:00:00
